"author1"	"author2"	"pubs"	"pubIDs"
"bau hh"	"TEBAS P"	"0"	""
"bau hh"	"Teitelman A"	"0"	""
"bau hh"	"Tomescu C"	"0"	""
"bau hh"	"van duyne g"	"0"	""
"bau hh"	"VILLARRUEL A"	"0"	""
"bau hh"	"WEINER DB"	"0"	""
"bau hh"	"Weissman D"	"0"	""
"bau hh"	"WHERRY EJ"	"0"	""
"bau hh"	"Wood s"	"0"	""
"bau hh"	"WOODY GE"	"0"	""
"bau hh"	"YEHIA B"	"0"	""
"bau hh"	"YOU J"	"0"	""
"bau hh"	"Yuan Y"	"0"	""
"bau hh"	"ZETOLA N"	"0"	""
"Bauermeister J"	"BETTS M"	"0"	""
"Bauermeister J"	"BHANDOOLA A"	"0"	""
"Bauermeister J"	"BISSON GP"	"0"	""
"Bauermeister J"	"BLANK MB"	"0"	""
"Bauermeister J"	"blumberg ea"	"0"	""
"Bauermeister J"	"brady ka"	"0"	""
"Bauermeister J"	"brawner b"	"0"	""
"Bauermeister J"	"BUSHMAN F"	"0"	""
"Bauermeister J"	"CANCRO M"	"0"	""
"Bauermeister J"	"CATON A"	"0"	""
"Bauermeister J"	"chang km"	"0"	""
"Bauermeister J"	"chhatre s"	"0"	""
"Bauermeister J"	"COHEN GH"	"0"	""
"Bauermeister J"	"COLLMAN R"	"0"	""
"Bauermeister J"	"DOUGLAS SD"	"0"	""
"Bauermeister J"	"DOWSHEN N"	"0"	""
"Bauermeister J"	"EISENBERG RJ"	"0"	""
"Bauermeister J"	"Eisenlohr L"	"0"	""
"Bauermeister J"	"EPPERSON CN"	"0"	""
"Bauermeister J"	"Evans DL"	"0"	""
"Bauermeister J"	"friedman hm"	"0"	""
"Bauermeister J"	"GHOSE T"	"0"	""
"Bauermeister J"	"GROSS R"	"0"	""
"Bauermeister J"	"grover s"	"0"	""
"Bauermeister J"	"HAHN BH"	"0"	""
"Bauermeister J"	"Hahn SM"	"0"	""
"Bauermeister J"	"HOXIE J"	"0"	""
"Bauermeister J"	"HUNTER CA"	"0"	""
"Bauermeister J"	"jarvis jn"	"0"	""
"Bauermeister J"	"JEMMOTT J"	"0"	""
"Bauermeister J"	"JEMMOTT L"	"0"	""
"Bauermeister J"	"JOHNSON PR"	"0"	""
"Bauermeister J"	"JORDAN-SCIUTTO K"	"0"	""
"Bauermeister J"	"JUNE CH"	"0"	""
"Bauermeister J"	"koenig h"	"0"	""
"Bauermeister J"	"Kohler HP"	"0"	""
"Bauermeister J"	"KOHLI RM"	"0"	""
"Bauermeister J"	"KOLSON D"	"0"	""
"Bauermeister J"	"kovaric cl"	"0"	""
"Bauermeister J"	"LANGLEBEN DD"	"0"	""
"Bauermeister J"	"LIEBERMAN PM"	"0"	""
"Bauermeister J"	"LIU C"	"0"	""
"Bauermeister J"	"Lo Re V"	"0"	""
"Bauermeister J"	"LOWENTHAL ED"	"0"	""
"Bauermeister J"	"Mcguire JL"	"0"	""
"Bauermeister J"	"METZGER DS"	"0"	""
